,epoch,train_acc,test_acc
0,0,0.2954166531562805,0.45170000195503235
0,1,0.3752000033855438,0.3637999892234802
0,2,0.4032333195209503,0.2784000039100647
0,3,0.266400009393692,0.15729999542236328
0,4,0.2147500067949295,0.21930000185966492
0,5,0.2157166600227356,0.16449999809265137
0,6,0.16963332891464233,0.14489999413490295
0,7,0.1517000049352646,0.12200000137090683
0,8,0.14376667141914368,0.1370999962091446
0,9,0.16458334028720856,0.15760000050067902
0,10,0.15469999611377716,0.21060000360012054
0,11,0.1608666628599167,0.1281999945640564
0,12,0.12189999967813492,0.11540000140666962
0,13,0.11596667021512985,0.13130000233650208
0,14,0.15205000340938568,0.16089999675750732
0,15,0.16121666133403778,0.1678999960422516
0,16,0.15850000083446503,0.15119999647140503
0,17,0.15960000455379486,0.1437000036239624
0,18,0.15919999778270721,0.16380000114440918
0,19,0.15488334000110626,0.1462000012397766
