,epoch,train_acc,test_acc
0,0,0.9019833207130432,0.9778000116348267
0,1,0.9749833345413208,0.9805999994277954
0,2,0.9807166457176208,0.9843000173568726
0,3,0.9845333099365234,0.9839000105857849
0,4,0.9861166477203369,0.9878000020980835
0,5,0.9865166544914246,0.9890999794006348
0,6,0.9882500171661377,0.9864000082015991
0,7,0.9894333481788635,0.9868999719619751
0,8,0.9899500012397766,0.9887999892234802
0,9,0.9907166957855225,0.9883000254631042
0,10,0.991349995136261,0.9879999756813049
0,11,0.9916499853134155,0.9886000156402588
0,12,0.9919000267982483,0.983299970626831
0,13,0.9918833374977112,0.9884999990463257
0,14,0.9922000169754028,0.9869999885559082
0,15,0.9937999844551086,0.9891999959945679
0,16,0.9938499927520752,0.9879999756813049
0,17,0.9936666488647461,0.9896000027656555
0,18,0.994183361530304,0.9887999892234802
0,19,0.9945499897003174,0.9894000291824341
