,epoch,train_acc,test_acc
0,0,0.909600019454956,0.9656000733375549
0,1,0.9680500030517578,0.9773000478744507
0,2,0.9770500063896179,0.9826000332832336
0,3,0.9815500378608704,0.9848000407218933
0,4,0.984333336353302,0.9880000352859497
0,5,0.9865833520889282,0.987000048160553
0,6,0.987766683101654,0.9897000193595886
0,7,0.9891999959945679,0.9873000383377075
0,8,0.9902333617210388,0.9916000366210938
0,9,0.9907166957855225,0.9917000532150269
0,10,0.9918833374977112,0.9920000433921814
0,11,0.9924333691596985,0.9907000660896301
0,12,0.9931166768074036,0.9925000667572021
0,13,0.9934666752815247,0.9933000206947327
0,14,0.9940833449363708,0.9929000735282898
0,15,0.994350016117096,0.993600070476532
0,16,0.9949666857719421,0.9828000664710999
0,17,0.9951666593551636,0.9919000267982483
0,18,0.9954833388328552,0.9942000508308411
0,19,0.9956666827201843,0.9937000274658203
