,epoch,train_acc,test_acc
0,0,0.32820001244544983,0.33820000290870667
0,1,0.3316666781902313,0.3240000009536743
0,2,0.3304666578769684,0.3296000063419342
0,3,0.3336000144481659,0.3296000063419342
0,4,0.33426666259765625,0.3443000018596649
0,5,0.331033319234848,0.33379998803138733
0,6,0.330949991941452,0.3422999978065491
0,7,0.33559998869895935,0.3427000045776367
0,8,0.33043333888053894,0.3231000006198883
0,9,0.3355500102043152,0.3409000039100647
0,10,0.3308166563510895,0.3425000011920929
0,11,0.3313499987125397,0.34290000796318054
0,12,0.33239999413490295,0.3163999915122986
0,13,0.3328166604042053,0.33629998564720154
0,14,0.3374499976634979,0.32199999690055847
0,15,0.32876667380332947,0.33160001039505005
0,16,0.3307333290576935,0.3467999994754791
0,17,0.3343166708946228,0.33149999380111694
0,18,0.3339666724205017,0.3192000091075897
0,19,0.33516666293144226,0.33410000801086426
