,epoch,train_acc,test_acc
0,0,0.7242666482925415,0.8327000141143799
0,1,0.8330166935920715,0.8525999784469604
0,2,0.8396333456039429,0.8288000226020813
0,3,0.8444166779518127,0.8454999923706055
0,4,0.8463500142097473,0.8521999716758728
0,5,0.8496166467666626,0.85589998960495
0,6,0.8449000120162964,0.8422999978065491
0,7,0.8448500037193298,0.8587999939918518
0,8,0.8504999876022339,0.8572999835014343
0,9,0.8402500152587891,0.8338000178337097
0,10,0.8409000039100647,0.819100022315979
0,11,0.8266333341598511,0.8485000133514404
0,12,0.8200166821479797,0.8353000283241272
0,13,0.833816647529602,0.8349000215530396
0,14,0.8176833391189575,0.7756999731063843
0,15,0.8210333585739136,0.8174999952316284
0,16,0.8366333246231079,0.8442000150680542
0,17,0.5974000096321106,0.6193000078201294
0,18,0.436599999666214,0.12219999730587006
0,19,0.1147666648030281,0.1136000007390976
