,epoch,train_acc,test_acc
0,0,0.8573166728019714,0.9027000069618225
0,1,0.8955166935920715,0.8862000107765198
0,2,0.8975833058357239,0.8903999924659729
0,3,0.8981166481971741,0.887499988079071
0,4,0.8985833525657654,0.9003999829292297
0,5,0.897433340549469,0.8970000147819519
0,6,0.9001500010490417,0.902400016784668
0,7,0.9018666744232178,0.9063000082969666
0,8,0.8974833488464355,0.8804000020027161
0,9,0.8996666669845581,0.9045000076293945
0,10,0.8960666656494141,0.890999972820282
0,11,0.9010666608810425,0.90829998254776
0,12,0.8968166708946228,0.901199996471405
0,13,0.8982666730880737,0.9035000205039978
0,14,0.8996666669845581,0.90829998254776
0,15,0.9003166556358337,0.8982999920845032
0,16,0.9004666805267334,0.88919997215271
0,17,0.897266685962677,0.9006999731063843
0,18,0.9013500213623047,0.8973000049591064
0,19,0.9004999995231628,0.9057999849319458
