,epoch,train_acc,test_acc
0,0,0.4910833239555359,0.527400016784668
0,1,0.5562333464622498,0.5651999711990356
0,2,0.5733833312988281,0.5774000287055969
0,3,0.5798500180244446,0.585099995136261
0,4,0.5776833295822144,0.6019999980926514
0,5,0.5804333090782166,0.5842999815940857
0,6,0.5758166909217834,0.5856000185012817
0,7,0.5803333520889282,0.5873000025749207
0,8,0.5812833309173584,0.5914000272750854
0,9,0.5860499739646912,0.585099995136261
0,10,0.581250011920929,0.598800003528595
0,11,0.585433304309845,0.5910000205039978
0,12,0.581083357334137,0.5982999801635742
0,13,0.5866666436195374,0.5835000276565552
0,14,0.5837833285331726,0.59579998254776
0,15,0.580049991607666,0.597599983215332
0,16,0.5859500169754028,0.5986999869346619
0,17,0.5819666385650635,0.6086000204086304
0,18,0.585266649723053,0.6136000156402588
0,19,0.5844500064849854,0.599399983882904
