,epoch,train_acc,test_acc
0,0,0.9398543238639832,0.9371044039726257
0,1,0.9617704153060913,0.9544106125831604
0,2,0.9715262651443481,0.9640031456947327
0,3,0.9771732687950134,0.968156635761261
0,4,0.9809268116950989,0.970530092716217
0,5,0.9836587309837341,0.9722112417221069
0,6,0.9860907793045044,0.9735957384109497
0,7,0.9884228706359863,0.975375771522522
0,8,0.9903551340103149,0.9765625
0,9,0.991454541683197,0.9774525165557861
0,10,0.9924706816673279,0.9787381291389465
0,11,0.9935867786407471,0.977749228477478
0,12,0.9943196773529053,0.9787381291389465
0,13,0.9950526356697083,0.9792326092720032
0,14,0.9957355856895447,0.9796281456947327
0,15,0.9962353706359863,0.9804192781448364
0,16,0.9967517256736755,0.9808148741722107
0,17,0.9970515966415405,0.9808148741722107
0,18,0.997434675693512,0.9814082384109497
0,19,0.9977678656578064,0.9820016026496887
