,epoch,train_acc,test_acc
0,0,0.7875000238418579,0.8964000344276428
0,1,0.9057833552360535,0.9188000559806824
0,2,0.9312999844551086,0.9349000453948975
0,3,0.9452500343322754,0.9503000378608704
0,4,0.9528666734695435,0.9485000371932983
0,5,0.9588500261306763,0.9613000750541687
0,6,0.962766706943512,0.9634000658988953
0,7,0.965583324432373,0.9635000228881836
0,8,0.9688166975975037,0.9671000242233276
0,9,0.9706667065620422,0.9675000309944153
0,10,0.9733333587646484,0.969700038433075
0,11,0.975183367729187,0.9650000333786011
0,12,0.9767333269119263,0.9672000408172607
0,13,0.9778000116348267,0.9711000323295593
0,14,0.9794833660125732,0.9717000722885132
0,15,0.980316698551178,0.9693000316619873
0,16,0.9819833636283875,0.9719000458717346
0,17,0.9833500385284424,0.9691000580787659
0,18,0.9847166538238525,0.9704000353813171
0,19,0.9855833649635315,0.9739000201225281
