,epoch,train_acc,test_acc
0,0,0.915149986743927,0.9620000720024109
0,1,0.9643499851226807,0.9720000624656677
0,2,0.9757333397865295,0.9617000222206116
0,3,0.9829666614532471,0.9780000448226929
0,4,0.9880666732788086,0.9772000312805176
0,5,0.9905166625976562,0.9821000695228577
0,6,0.9938666820526123,0.9814000725746155
0,7,0.9956499934196472,0.98170006275177
0,8,0.996566653251648,0.9845000505447388
0,9,0.9978166818618774,0.9819000363349915
0,10,0.9983333349227905,0.9837000370025635
0,11,0.9991500377655029,0.9834000468254089
0,12,0.9994666576385498,0.9860000610351562
0,13,0.9996833205223083,0.9864000678062439
0,14,0.9998500347137451,0.9861000180244446
0,15,0.9999333620071411,0.9857000708580017
0,16,0.9999833703041077,0.9865000247955322
0,17,1.0,0.987000048160553
0,18,1.0,0.9872000217437744
0,19,1.0,0.9872000217437744
