,epoch,train_acc,test_acc
0,0,0.6230666637420654,0.7452000379562378
0,1,0.7848333716392517,0.8231000304222107
0,2,0.843999981880188,0.8578000664710999
0,3,0.8688833713531494,0.8821000456809998
0,4,0.8849833607673645,0.8830000162124634
0,5,0.8928166627883911,0.8992000222206116
0,6,0.9000999927520752,0.8997000455856323
0,7,0.9046666622161865,0.9057000279426575
0,8,0.909083366394043,0.9104000329971313
0,9,0.9138166904449463,0.9163000583648682
0,10,0.9169666767120361,0.9163000583648682
0,11,0.9190000295639038,0.9247000217437744
0,12,0.9219666719436646,0.9237000346183777
0,13,0.9225833415985107,0.9267000555992126
0,14,0.9254666566848755,0.9238000512123108
0,15,0.9279333353042603,0.9282000660896301
0,16,0.9285666942596436,0.9280000329017639
0,17,0.9307833313941956,0.9308000206947327
0,18,0.9322167038917542,0.9331000447273254
0,19,0.9334333539009094,0.9280000329017639
